,time,SOA,O2C
298,0.4983,28.2557,0.38197
299,0.5,28.3265,0.38194
300,0.5017,28.397,0.38192
301,0.5033,28.4673,0.38189
302,0.505,28.5372,0.38187
303,0.5067,28.6069,0.38184
304,0.5083,28.6763,0.38182
305,0.51,28.7454,0.38179
306,0.5117,28.8143,0.38176
307,0.5133,28.8829,0.38174
308,0.515,28.9512,0.38171
309,0.5167,29.0192,0.38169000000000003
310,0.5183,29.0869,0.38166
311,0.52,29.1544,0.38164000000000003
312,0.5217,29.2216,0.38161999999999996
313,0.5233,29.2886,0.38159
314,0.525,29.3552,0.38156999999999996
315,0.5267,29.4217,0.38154
316,0.5283,29.4878,0.38151999999999997
317,0.53,29.5537,0.3815
318,0.5317,29.6193,0.38147
319,0.5333,29.6847,0.38145
320,0.535,29.7498,0.38142
321,0.5367,29.8146,0.3814
322,0.5383,29.8792,0.38138
323,0.54,29.9435,0.38136
324,0.5417,30.0076,0.38133
325,0.5433,30.0715,0.38131
326,0.545,30.135,0.38129
327,0.5467,30.1984,0.38126
328,0.5483,30.2614,0.38124
329,0.55,30.3243,0.38122
330,0.5517,30.3868,0.3812
331,0.5533,30.4492,0.38117
332,0.555,30.5113,0.38115
333,0.5567,30.5731,0.38113
334,0.5583,30.6347,0.38111
335,0.56,30.6961,0.38109
336,0.5617,30.7572,0.38106999999999996
337,0.5633,30.8181,0.38104
338,0.565,30.8788,0.38101999999999997
339,0.5667,30.9392,0.381
340,0.5683,30.9994,0.38098000000000004
341,0.57,31.0593,0.38095999999999997
342,0.5717,31.119,0.38094
343,0.5733,31.1785,0.38092
344,0.575,31.2378,0.3809
345,0.5767,31.2968,0.38088
346,0.5783,31.3556,0.38085
347,0.58,31.4142,0.38083
348,0.5817,31.4725,0.38081
349,0.5833,31.5306,0.38079
350,0.585,31.5885,0.38077
351,0.5867,31.6462,0.38075
352,0.5883,31.7037,0.38073
353,0.59,31.7609,0.38071
354,0.5917,31.8179,0.38069000000000003
355,0.5933,31.8747,0.38067
356,0.595,31.9313,0.38065
357,0.5967,31.9876,0.38063
358,0.5983,32.0438,0.38061
359,0.6,32.0997,0.3806
360,0.6017,32.1554,0.38058000000000003
361,0.6033,32.2109,0.38056
362,0.605,32.2662,0.38054
363,0.6067,32.3213,0.38051999999999997
364,0.6083,32.3762,0.3805
365,0.61,32.4309,0.38048000000000004
366,0.6117,32.4853,0.38045999999999996
367,0.6133,32.5396,0.38044
368,0.615,32.5936,0.38042
369,0.6167,32.6475,0.38040999999999997
370,0.6183,32.7011,0.38039
371,0.62,32.7546,0.38037
372,0.6217,32.8078,0.38035
373,0.6233,32.8609,0.38033
374,0.625,32.9137,0.38031
375,0.6267,32.9663,0.3803
376,0.6283,33.0188,0.38028
377,0.63,33.0711,0.38026
378,0.6317,33.1231,0.38024
379,0.6333,33.175,0.38023
380,0.635,33.2266,0.38021
381,0.6367,33.2781,0.38019000000000003
382,0.6383,33.3294,0.38017
383,0.64,33.3805,0.38015
384,0.6417,33.4314,0.38014000000000003
385,0.6433,33.4821,0.38011999999999996
386,0.645,33.5327,0.3801
387,0.6467,33.583,0.38009
388,0.6483,33.6332,0.38006999999999996
389,0.65,33.6831,0.38005
390,0.6517,33.7329,0.38004
391,0.6533,33.7825,0.38001999999999997
392,0.655,33.832,0.38
393,0.6567,33.8812,0.37998000000000004
394,0.6583,33.9303,0.37997
395,0.66,33.9792,0.37995
396,0.6617,34.0279,0.37994
397,0.6633,34.0764,0.37992
398,0.665,34.1247,0.3799
399,0.6667,34.1729,0.37989
400,0.6683,34.2209,0.37987
401,0.67,34.2687,0.37985
402,0.6717,34.3164,0.37984
403,0.6733,34.3639,0.37982
404,0.675,34.4112,0.37981
405,0.6767,34.4583,0.37979
406,0.6783,34.5053,0.37977
407,0.68,34.5521,0.37976
408,0.6817,34.5987,0.37974
409,0.6833,34.6451,0.37973
410,0.685,34.6914,0.37971
411,0.6867,34.7376,0.3797
412,0.6883,34.7835,0.37968
413,0.69,34.8293,0.37967
414,0.6917,34.8749,0.37965
415,0.6933,34.9204,0.37964000000000003
416,0.695,34.9657,0.37961999999999996
417,0.6967,35.0109,0.3796
418,0.6983,35.0558,0.37959
419,0.7,35.1007,0.37956999999999996
420,0.7017,35.1453,0.37956
421,0.7033,35.1898,0.37955
422,0.705,35.2342,0.37953000000000003
423,0.7067,35.2784,0.37951999999999997
424,0.7083,35.3224,0.3795
425,0.71,35.3663,0.37949
426,0.7117,35.41,0.37947
427,0.7133,35.4536,0.37945999999999996
428,0.715,35.497,0.37944
429,0.7167,35.5403,0.37943000000000005
430,0.7183,35.5834,0.37940999999999997
431,0.72,35.6263,0.3794
432,0.7217,35.6691,0.37939
433,0.7233,35.7118,0.37937
434,0.725,35.7543,0.37936
435,0.7267,35.7967,0.37934
436,0.7283,35.8389,0.37933
437,0.73,35.881,0.37932
438,0.7317,35.9229,0.3793
439,0.7333,35.9647,0.37929
440,0.735,36.0063,0.37927
441,0.7367,36.0478,0.37926
442,0.7383,36.0892,0.37925
443,0.74,36.1304,0.37923
444,0.7417,36.1714,0.37922
445,0.7433,36.2123,0.37921
446,0.745,36.2531,0.37919
447,0.7467,36.2938,0.37918
448,0.7483,36.3343,0.37917
449,0.75,36.3746,0.37915
450,0.7517,36.4149,0.37914000000000003
451,0.7533,36.4549,0.37913
452,0.755,36.4949,0.37911
453,0.7567,36.5347,0.3791
454,0.7583,36.5744,0.37909
455,0.76,36.6139,0.37906999999999996
456,0.7617,36.6533,0.37906
457,0.7633,36.6926,0.37905
458,0.765,36.7318,0.37904
459,0.7667,36.7708,0.37901999999999997
460,0.7683,36.8097,0.37901
461,0.77,36.8484,0.379
462,0.7717,36.887,0.37898000000000004
463,0.7733,36.9255,0.37897
464,0.775,36.9639,0.37895999999999996
465,0.7767,37.0021,0.37895
466,0.7783,37.0402,0.37893000000000004
467,0.78,37.0782,0.37892
468,0.7817,37.116,0.37890999999999997
469,0.7833,37.1538,0.3789
470,0.785,37.1913,0.37889
471,0.7867,37.2288,0.37887
472,0.7883,37.2662,0.37886
473,0.79,37.3034,0.37885
474,0.7917,37.3405,0.37884
475,0.7933,37.3775,0.37882
476,0.795,37.4143,0.37881
477,0.7967,37.4511,0.3788
478,0.7983,37.4877,0.37879
479,0.8,37.5242,0.37878
480,0.8017,37.5605,0.37877
481,0.8033,37.5968,0.37875
482,0.805,37.6329,0.37874
483,0.8067,37.6689,0.37873
484,0.8083,37.7048,0.37872
485,0.81,37.7406,0.37871
486,0.8117,37.7763,0.3787
487,0.8133,37.8118,0.37868
488,0.815,37.8473,0.37867
489,0.8167,37.8826,0.37866
490,0.8183,37.9178,0.37865
491,0.82,37.9529,0.37864000000000003
492,0.8217,37.9878,0.37863
493,0.8233,38.0227,0.37861999999999996
494,0.825,38.0574,0.3786
495,0.8267,38.0921,0.37859
496,0.8283,38.1266,0.37858
